"id","classification_code","classification_name","classification_group","useful_life_years","is_active","triage_category","recommended_account_code_primary","recommended_account_code_secondary","recommended_action","mapped_account_code","mapper_notes"
"955","","Technology Building - Refurbishment of COT Faculty Office, Ground Floor Hallway and Classrooms @ second floor and repainting","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.020.00","User map: School Building"
"742","","Terracotta Production Center Phase I","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map: Building"
"743","","Terracotta Production Center Phase II w/ Extra Work","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.010.00","User map normalized: Building"
"823","","Title No. N-4808","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"824","","Title No. N-4809","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"825","","Title No. N-4810","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"826","","Title No. N-4811","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"827","","Title No. N-4812","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"828","","Title No. N-4813","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"829","","Title No. N-4814","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"830","","Title No. N-4826","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"831","","Title No. N-5641","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.01.010.00","User map: Land"
"907","","TLRC Gate & Guard House","","","active","likely_building_structure","1.06.04.010.00","1.06.10.030.00","Choose Buildings (completed) or CIP Buildings/Structures (in-progress)","1.06.04.990.00","User map: Other Structure"
"913","","Traditional Knowledge Center-Phase II (Stage)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"914","","Traditional Knowledge Center-Phase III (Stage)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"915","","Traditional Knowledge Center-Phase IV (Stage)","","","active","project_like","REVIEW-CANONICAL-FIRST","1.06.10.020.00 or 1.06.10.030.00","Map to canonical class then deactivate project-like label","1.06.04.990.00","User map: Other Structure"
"536","CLS-2026-0536","Water Dispenser","semi_expendable","3","active","likely_catalog_item","MANUAL-BY-ITEM","","Map directly based on actual item nature","1.06.05.990.00","User map: Other Machinery & equipment"
